Geartype,country,Flag,avg.bpfh,avg.mpfh,avg.tmpfh,avg.tmpfh.low,avg.tmpfh.high
gillnet,Brazil  ,BRA,0.0002,0.00E+00 ,3.37E-05,2.33E-05 ,4.42E-05 
longline,Brazil  ,BRA,0.0005,0.00E+00 ,1.41E-04,1.22E-04 ,1.63E-04 
longline,Canada  ,CAN,0.0038,0.00E+00 ,9.83E-04,8.43E-04 ,1.15E-03 
gillnet,Chile  ,CHL,0.0002,,3.43E-05,2.37E-05 ,4.50E-05 
longline,Chile  ,CHL,0.0002,0.00E+00 ,1.24E-04,1.14E-04 ,1.35E-04 
gillnet,Colombia  ,COL,0.0005,0.00E+00 ,7.15E-05,4.93E-05 ,9.36E-05 
longline,Colombia  ,COL,0.0023,8.28E-03 ,1.28E-03,1.20E-03 ,1.38E-03 
longline,Costa Rica  ,CRI,0.0208,1.07E-05 ,5.35E-03,4.58E-03 ,6.25E-03 
trawl,Costa Rica  ,CRI,4.5662,,3.33E+00,3.24E+00 ,3.42E+00 
gillnet,Ecuador  ,ECU,0,1.27E-05 ,1.01E-06,9.19E-07 ,1.11E-06 
longline,Ecuador  ,ECU,0,0.00E+00 ,2.16E-06,1.95E-06 ,2.36E-06 
gillnet,France  ,FRA,0.0001,,1.39E-05,9.61E-06 ,1.83E-05 
longline,France  ,FRA,0,,3.51E-07,3.33E-07 ,3.71E-07 
trawl,France  ,FRA,0,,8.18E-08,7.47E-08 ,8.90E-08 
gillnet,Japan  ,JPN,0.0001,,1.33E-04,1.27E-04 ,1.38E-04 
gillnet,Mexico  ,MEX,0.0008,,1.21E-04,8.37E-05 ,1.59E-04 
longline,Mexico  ,MEX,0.0015,5.47E-03 ,8.46E-04,7.90E-04 ,9.12E-04 
longline,New Zealand  ,NZL,0,1.92E-06 ,2.97E-07,2.78E-07 ,3.20E-07 
gillnet,Nicaragua  ,NIC,0.0002,,2.94E-05,2.03E-05 ,3.86E-05 
longline,Nicaragua  ,NIC,0,9.86E-05 ,1.53E-05,1.42E-05 ,1.64E-05 
gillnet,Panama  ,PAN,0,,1.27E-07,8.78E-08 ,1.67E-07 
gillnet,Peru  ,PER,0,1.38E-04 ,1.38E-05,1.31E-05 ,1.45E-05 
longline,Peru  ,PER,0.0024,,1.33E-03,1.24E-03 ,1.43E-03 
longline,Portugal  ,PRT,0.0011,,2.85E-04,2.44E-04 ,3.33E-04 
longline,Spain  ,ESP,0.0006,0.00E+00 ,1.45E-04,1.24E-04 ,1.69E-04 
longline,Taiwan  ,TWN,0.002,1.27E-05 ,1.32E-03,1.25E-03 ,1.41E-03 
gillnet,,,0.0002,5.49E-06 ,3.31E-05,2.58E-05 ,4.04E-05 
longline,,,0.0035,8.43E-04 ,1.02E-03,8.92E-04 ,1.17E-03 
seine,,,0.0073,,1.06E-03,7.32E-04 ,1.39E-03 
trawl,,,0,,8.18E-08,7.47E-08 ,8.90E-08 